system_id,ell,obs_dx,obs_dy,sigma_grad_x,sigma_grad_y,sigma,mv_nlkk,pp_nlkk
L00089,706,-0.504865391,-0.341161054,-0.504865391,-0.341161054,0.204911130,9.850237015516e-07,2.235946031061e-05
L00090,714,-0.498621820,-0.331886395,-0.498621820,-0.331886395,0.205002063,9.893913143874e-07,2.266020138168e-05
L00091,722,-0.493457271,-0.323460985,-0.493457271,-0.323460985,0.205099889,9.930187413968e-07,2.293690957002e-05
L00092,730,-0.486581113,-0.314471576,-0.486581113,-0.314471576,0.205163286,9.978690021866e-07,2.323586751885e-05
L00093,738,-0.483134819,-0.304864889,-0.483134819,-0.304864889,0.205348098,1.000308832627e-06,2.355966246547e-05
L00094,746,-0.477023525,-0.296642725,-0.477023525,-0.296642725,0.205411424,1.004650047862e-06,2.384037302277e-05
L00095,754,-0.469380021,-0.287444819,-0.469380021,-0.287444819,0.205458056,1.010106209801e-06,2.415836150074e-05
L00096,762,-0.458733857,-0.278455246,-0.458733857,-0.278455246,0.205408358,1.017755175395e-06,2.447324551438e-05
L00097,770,-0.448558770,-0.268218525,-0.448558770,-0.268218525,0.205410207,1.025119812565e-06,2.483681511765e-05
L00098,778,-0.439892226,-0.258298089,-0.439892226,-0.258298089,0.205447824,1.031434591402e-06,2.519430403900e-05
L00099,786,-0.428929375,-0.249857423,-0.428929375,-0.249857423,0.205372159,1.039478302732e-06,2.550251714705e-05
L00100,794,-0.421903918,-0.237733183,-0.421903918,-0.237733183,0.205525122,1.044666002661e-06,2.595184638376e-05
