system_id,ra_deg,dec_deg,snr,z,planck_name,mcxc_cross_id,act_cross_id,spt_cross_id,source
MCXC J0408.2-3053,62.0960748,-30.9911443,6.12335,0.060000,PSZ2 G230.29-47.13,J0408.2-3053,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G230.48+71.51,174.0534422,20.3245207,6.03830,0.321184,PSZ2 G230.48+71.51,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G230.73+27.70,135.3726356,-1.6582023,5.22304,0.294350,PSZ2 G230.73+27.70,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1113.3+1735,168.3208293,17.5358348,4.60651,0.170600,PSZ2 G230.76+65.41,J1113.3+1735,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G231.05-17.32,94.7227679,-23.5827102,4.94539,0.403000,PSZ2 G231.05-17.32,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G231.41+77.48,179.9967162,22.5808250,4.53697,-1.000000,PSZ2 G231.41+77.48,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G231.56+60.03,163.5756141,14.6560796,7.87923,0.299400,PSZ2 G231.56+60.03,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G231.70-07.80,104.3562673,-20.2215493,6.94325,0.200000,PSZ2 G231.70-07.80,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G231.74-70.59,34.5475043,-31.6966789,6.15634,-1.000000,PSZ2 G231.74-70.59,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G231.79+31.48,139.0579957,-0.4118023,4.90539,0.332405,PSZ2 G231.79+31.48,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G232.27+12.59,123.1989488,-10.8505786,4.51943,-1.000000,PSZ2 G232.27+12.59,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G232.45-17.44,95.1723315,-24.8616590,4.89226,-1.000000,PSZ2 G232.45-17.44,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G232.84+38.13,145.1110025,2.4719306,5.22349,0.150800,PSZ2 G232.84+38.13,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0852.2-0532,133.0872555,-5.5834397,4.74499,0.192000,PSZ2 G233.05+23.67,J0852.2-0532,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G233.12-26.25,86.1637956,-28.5030643,5.59616,-1.000000,PSZ2 G233.12-26.25,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0528.2-2942,82.0800312,-29.7175603,5.60507,0.158200,PSZ2 G233.25-30.01,J0528.2-2942,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G233.41-17.13,95.8681361,-25.5951889,5.70156,0.350000,PSZ2 G233.41-17.13,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G233.43-15.36,97.6807879,-24.9287933,4.50795,-1.000000,PSZ2 G233.43-15.36,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G233.46+25.46,134.8022873,-4.9222813,4.79345,-1.000000,PSZ2 G233.46+25.46,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G233.68+36.14,143.8196300,0.8184450,5.10404,0.356823,PSZ2 G233.68+36.14,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G234.06-30.74,81.4920558,-30.5875081,6.61692,0.199400,PSZ2 G234.06-30.74,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G234.09+10.45,122.2897601,-13.4884698,5.14079,-1.000000,PSZ2 G234.09+10.45,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G234.52+82.85,185.5694035,24.3128643,4.51554,0.524093,PSZ2 G234.52+82.85,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1144.6+1945,176.0758365,19.8830938,11.26705,0.021400,PSZ2 G234.59+73.01,J1144.6+1945,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G235.56+23.29,134.0452027,-7.7117910,6.07704,0.374000,PSZ2 G235.56+23.29,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0229.3-3332,37.3375348,-33.5107402,4.77831,0.079200,PSZ2 G235.74-67.98,J0229.3-3332,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G235.96+38.21,146.5462540,0.4861218,9.39624,-1.000000,PSZ2 G235.96+38.21,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G236.68-37.71,73.9951074,-34.2263486,5.00144,-1.000000,PSZ2 G236.68-37.71,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0547.6-3152,86.9007303,-31.8729707,10.11679,0.148300,PSZ2 G236.92-26.65,J0547.6-3152,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G237.41-21.34,92.9605532,-30.6324982,7.39847,-1.000000,PSZ2 G237.41-21.34,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G237.68+57.83,163.3788293,10.8158303,5.36312,-1.000000,PSZ2 G237.68+57.83,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0802.1-1926,120.5649876,-19.4291030,7.83665,0.140000,PSZ2 G238.34+05.94,J0802.1-1926,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1112.9+1326,168.2359920,13.4853366,7.30878,0.169000,PSZ2 G238.69+63.26,J1112.9+1326,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G239.27-26.01,88.3485322,-33.7019505,12.16475,0.430000,PSZ2 G239.27-26.01,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0909.1-0939,137.2340348,-9.6724937,36.24374,0.054200,PSZ2 G239.29+24.75,J0909.1-0939,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1023.6+0411,155.9240152,4.1662611,8.38827,0.285000,PSZ2 G239.43+47.95,J1023.6+0411,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G239.66+06.80,122.0747076,-20.0952027,6.90813,0.300000,PSZ2 G239.66+06.80,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G239.93-39.97,71.6885369,-37.0584176,6.61578,0.580000,PSZ2 G239.93-39.97,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0757.9-2157,119.4587030,-21.9635351,6.54280,0.049000,PSZ2 G239.97+03.74,J0757.9-2157,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G240.03-19.81,95.6318723,-32.4178990,5.17409,-1.000000,PSZ2 G240.03-19.81,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0354.5-3745,58.6405071,-37.7511199,7.28754,0.251000,PSZ2 G240.30-50.34,J0354.5-3745,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G240.39+07.91,123.4851888,-20.1045079,5.80371,0.331500,PSZ2 G240.39+07.91,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0304.1-3656,46.0192341,-36.9193845,5.93747,0.219200,PSZ2 G240.61-60.40,J0304.1-3656,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G240.71-74.03,29.8348400,-33.5395282,5.25646,-1.000000,PSZ2 G240.71-74.03,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0413.9-3805,63.4947456,-38.1125039,5.48707,0.050100,PSZ2 G240.80-46.51,J0413.9-3805,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G241.11-28.68,85.7378135,-35.9842577,9.01615,0.420000,PSZ2 G241.11-28.68,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G241.41-65.88,39.2629516,-36.1301105,6.07334,-1.000000,PSZ2 G241.41-65.88,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0532.9-3701,83.2316748,-37.0396325,11.12833,0.270800,PSZ2 G241.76-30.88,J0532.9-3701,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0605.8-3518,91.4695514,-35.3091113,14.47328,0.139200,PSZ2 G241.79-24.01,J0605.8-3518,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G241.79+50.30,158.7337764,4.3823692,4.72944,0.152400,PSZ2 G241.79+50.30,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G241.91+07.79,124.2630705,-21.4343420,4.59465,-1.000000,PSZ2 G241.91+07.79,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G241.98+19.56,134.4557678,-14.7419999,4.51441,-1.000000,PSZ2 G241.98+19.56,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0841.9-1729,130.5004930,-17.5030242,13.86426,0.168700,PSZ2 G241.98+14.87,J0841.9-1729,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0826.7-2007,126.6939549,-20.1223235,5.60288,0.087600,PSZ2 G242.09+10.41,J0826.7-2007,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0500.7-3840,75.2035256,-38.6749473,6.58638,0.053600,PSZ2 G242.41-37.40,J0500.7-3840,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G242.74-11.66,105.6921577,-31.7029183,4.66123,-1.000000,PSZ2 G242.74-11.66,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G243.00-65.94,38.9777896,-36.7376131,9.18192,-1.000000,PSZ2 G243.00-65.94,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1013.6-0054,153.5054259,-0.9589484,6.26893,0.044500,PSZ2 G243.02+42.87,J1013.6-0054,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G243.15-73.84,29.7629240,-34.2351146,10.32211,0.410000,PSZ2 G243.15-73.84,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G243.34-50.92,57.7594467,-39.6381893,6.04178,0.237000,PSZ2 G243.34-50.92,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1132.8+1428,173.2121480,14.4721784,12.04624,0.083400,PSZ2 G243.64+67.74,J1132.8+1428,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0337.0-3949,54.2495345,-39.8298994,6.73029,0.103000,PSZ2 G244.11-53.59,J0337.0-3949,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G244.12+26.12,141.0350348,-12.3026685,4.61356,-1.000000,PSZ2 G244.12+26.12,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
